school,date,duration,people,level,price
snowman,2026-11-16,half,2,3,64000
snowandflow,2026-11-16,half,2,3,0
niss,2026-11-16,half,2,3,57000
baddies,2026-11-16,half,2,3,81000
fuyu,2026-11-16,half,2,3,0
pinnacle,2026-11-16,half,2,3,80000
gosnow,2026-11-16,half,2,3,61500
chase4snow,2026-11-16,half,3,0,48000
snowman,2026-11-16,half,3,0,54000
snowandflow,2026-11-16,half,3,0,50000
niss,2026-11-16,half,3,0,57000
baddies,2026-11-16,half,3,0,81000
fuyu,2026-11-16,half,3,0,58000
pinnacle,2026-11-16,half,3,0,69000
gosnow,2026-11-16,half,3,0,61500
chase4snow,2026-11-16,half,3,1,54000
snowman,2026-11-16,half,3,1,57000
snowandflow,2026-11-16,half,3,1,55000
niss,2026-11-16,half,3,1,57000
baddies,2026-11-16,half,3,1,81000
fuyu,2026-11-16,half,3,1,0
pinnacle,2026-11-16,half,3,1,75000
gosnow,2026-11-16,half,3,1,61500
chase4snow,2026-11-16,half,3,2,54000
snowman,2026-11-16,half,3,2,60000
snowandflow,2026-11-16,half,3,2,55000
niss,2026-11-16,half,3,2,57000
baddies,2026-11-16,half,3,2,81000
fuyu,2026-11-16,half,3,2,0
pinnacle,2026-11-16,half,3,2,75000
gosnow,2026-11-16,half,3,2,61500
chase4snow,2026-11-16,half,3,3,55000
snowman,2026-11-16,half,3,3,64000
snowandflow,2026-11-16,half,3,3,0
niss,2026-11-16,half,3,3,57000
baddies,2026-11-16,half,3,3,81000
fuyu,2026-11-16,half,3,3,0
pinnacle,2026-11-16,half,3,3,84000
gosnow,2026-11-16,half,3,3,61500
chase4snow,2026-11-16,half,4,0,48000
snowman,2026-11-16,half,4,0,63000
snowandflow,2026-11-16,half,4,0,54000
niss,2026-11-16,half,4,0,57000
baddies,2026-11-16,half,4,0,0
fuyu,2026-11-16,half,4,0,58000
pinnacle,2026-11-16,half,4,0,74000
gosnow,2026-11-16,half,4,0,61500
chase4snow,2026-11-16,half,4,1,54000
snowman,2026-11-16,half,4,1,66000
snowandflow,2026-11-16,half,4,1,59000
niss,2026-11-16,half,4,1,57000
baddies,2026-11-16,half,4,1,0
fuyu,2026-11-16,half,4,1,0
pinnacle,2026-11-16,half,4,1,80000
gosnow,2026-11-16,half,4,1,61500
chase4snow,2026-11-16,half,4,2,54000
snowman,2026-11-16,half,4,2,69000
snowandflow,2026-11-16,half,4,2,59000
niss,2026-11-16,half,4,2,57000
baddies,2026-11-16,half,4,2,0
fuyu,2026-11-16,half,4,2,0
pinnacle,2026-11-16,half,4,2,80000
gosnow,2026-11-16,half,4,2,61500
chase4snow,2026-11-16,half,4,3,55000
snowman,2026-11-16,half,4,3,73000
snowandflow,2026-11-16,half,4,3,0
niss,2026-11-16,half,4,3,57000
baddies,2026-11-16,half,4,3,0
fuyu,2026-11-16,half,4,3,0
pinnacle,2026-11-16,half,4,3,89000
gosnow,2026-11-16,half,4,3,61500
chase4snow,2026-11-16,half,5,0,63000
snowman,2026-11-16,half,5,0,63000
snowandflow,2026-11-16,half,5,0,0
niss,2026-11-16,half,5,0,57000
baddies,2026-11-16,half,5,0,0
fuyu,2026-11-16,half,5,0,58000
pinnacle,2026-11-16,half,5,0,0
gosnow,2026-11-16,half,5,0,61500
chase4snow,2026-11-16,half,5,1,69000
snowman,2026-11-16,half,5,1,66000
snowandflow,2026-11-16,half,5,1,0
niss,2026-11-16,half,5,1,57000
baddies,2026-11-16,half,5,1,0
fuyu,2026-11-16,half,5,1,0
pinnacle,2026-11-16,half,5,1,0
gosnow,2026-11-16,half,5,1,61500
chase4snow,2026-11-16,half,5,2,69000
snowman,2026-11-16,half,5,2,69000
snowandflow,2026-11-16,half,5,2,0
niss,2026-11-16,half,5,2,57000
baddies,2026-11-16,half,5,2,0
fuyu,2026-11-16,half,5,2,0
pinnacle,2026-11-16,half,5,2,0
gosnow,2026-11-16,half,5,2,61500
chase4snow,2026-11-16,half,5,3,70000
snowman,2026-11-16,half,5,3,73000
snowandflow,2026-11-16,half,5,3,0
niss,2026-11-16,half,5,3,57000
baddies,2026-11-16,half,5,3,0
fuyu,2026-11-16,half,5,3,0
pinnacle,2026-11-16,half,5,3,0
gosnow,2026-11-16,half,5,3,61500
chase4snow,2026-11-16,half,6,0,78000
snowman,2026-11-16,half,6,0,0
snowandflow,2026-11-16,half,6,0,0
niss,2026-11-16,half,6,0,57000
baddies,2026-11-16,half,6,0,0
fuyu,2026-11-16,half,6,0,0
pinnacle,2026-11-16,half,6,0,0
gosnow,2026-11-16,half,6,0,61500
chase4snow,2026-11-16,half,6,1,84000
snowman,2026-11-16,half,6,1,0
snowandflow,2026-11-16,half,6,1,0
niss,2026-11-16,half,6,1,57000
baddies,2026-11-16,half,6,1,0
fuyu,2026-11-16,half,6,1,0
pinnacle,2026-11-16,half,6,1,0
gosnow,2026-11-16,half,6,1,61500
chase4snow,2026-11-16,half,6,2,84000
snowman,2026-11-16,half,6,2,0
snowandflow,2026-11-16,half,6,2,0
niss,2026-11-16,half,6,2,57000
baddies,2026-11-16,half,6,2,0
fuyu,2026-11-16,half,6,2,0
pinnacle,2026-11-16,half,6,2,0
gosnow,2026-11-16,half,6,2,61500
chase4snow,2026-11-16,half,6,3,85000
snowman,2026-11-16,half,6,3,0
snowandflow,2026-11-16,half,6,3,0
niss,2026-11-16,half,6,3,57000
baddies,2026-11-16,half,6,3,0
fuyu,2026-11-16,half,6,3,0
pinnacle,2026-11-16,half,6,3,0
gosnow,2026-11-16,half,6,3,61500
chase4snow,2026-11-16,full,1,0,78000
snowman,2026-11-16,full,1,0,90000
snowandflow,2026-11-16,full,1,0,68000
niss,2026-11-16,full,1,0,93000
baddies,2026-11-16,full,1,0,135000
fuyu,2026-11-16,full,1,0,81000
pinnacle,2026-11-16,full,1,0,87000
gosnow,2026-11-16,full,1,0,110000
chase4snow,2026-11-16,full,1,1,88000
snowman,2026-11-16,full,1,1,95000
snowandflow,2026-11-16,full,1,1,74000
niss,2026-11-16,full,1,1,93000
baddies,2026-11-16,full,1,1,135000
fuyu,2026-11-16,full,1,1,0
pinnacle,2026-11-16,full,1,1,94000
gosnow,2026-11-16,full,1,1,110000
chase4snow,2026-11-16,full,1,2,88000
snowman,2026-11-16,full,1,2,100000
snowandflow,2026-11-16,full,1,2,74000
niss,2026-11-16,full,1,2,93000
baddies,2026-11-16,full,1,2,135000
fuyu,2026-11-16,full,1,2,0
pinnacle,2026-11-16,full,1,2,94000
gosnow,2026-11-16,full,1,2,110000
chase4snow,2026-11-16,full,1,3,89000
snowman,2026-11-16,full,1,3,110000
snowandflow,2026-11-16,full,1,3,0
niss,2026-11-16,full,1,3,93000
baddies,2026-11-16,full,1,3,135000
fuyu,2026-11-16,full,1,3,0
pinnacle,2026-11-16,full,1,3,107000
gosnow,2026-11-16,full,1,3,110000
chase4snow,2026-11-16,full,2,0,78000
snowman,2026-11-16,full,2,0,90000
snowandflow,2026-11-16,full,2,0,72000
niss,2026-11-16,full,2,0,93000
baddies,2026-11-16,full,2,0,135000
fuyu,2026-11-16,full,2,0,81000
pinnacle,2026-11-16,full,2,0,90000
gosnow,2026-11-16,full,2,0,110000
chase4snow,2026-11-16,full,2,1,88000
snowman,2026-11-16,full,2,1,95000
snowandflow,2026-11-16,full,2,1,78000
niss,2026-11-16,full,2,1,93000
baddies,2026-11-16,full,2,1,135000
fuyu,2026-11-16,full,2,1,0
pinnacle,2026-11-16,full,2,1,97000
